comment_id,index,sentiment_confidence,sentiment_margin,sentiment_entropy,respect_confidence,respect_margin,respect_entropy,insult_confidence,insult_margin,insult_entropy,humiliate_confidence,humiliate_margin,humiliate_entropy,status_confidence,status_margin,status_entropy,dehumanize_confidence,dehumanize_margin,dehumanize_entropy,violence_confidence,violence_margin,violence_entropy,genocide_confidence,genocide_margin,genocide_entropy,attack_defend_confidence,attack_defend_margin,attack_defend_entropy,hatespeech_confidence,hatespeech_margin,hatespeech_entropy
7574,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38840,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21953,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16356,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7896,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23646,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22607,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4267,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26915,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40331,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3581,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41018,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43300,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46711,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13308,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38052,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37950,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38433,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29026,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3101,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1832,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46846,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17601,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20950,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19924,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29478,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17037,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31516,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26033,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25490,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46657,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38578,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45835,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44820,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39890,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24908,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36126,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14889,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46827,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43131,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
